datetime_utc, _conds, _dewptm, _fog, _hail, _heatindexm, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _vism, _wdird, _wdire, _wgustm, _windchillm, _wspdm
20160903-12:00,Haze,24,0,0,,48,,998,0,0,34,0,0,4,270,West,,,14.8
20160903-12:30,Haze,24,0,0,39.2,59,,1000,0,0,33,0,0,4,290,WNW,,,5.6
20160903-15:00,Haze,25,0,0,,65,,1000,0,0,30,0,0,2,,,,,0
20160903-18:00,Mist,26,0,0,,78,,1001,0,0,29,0,0,2,,,,,0
20160903-21:00,Mist,24,0,0,,73,,1001,0,0,28,0,0,2,250,WSW,,,13
20160904-00:00,Mist,24,0,0,,81,,1002,0,0,27,0,0,2,270,West,,,13
20160904-03:00,Haze,23,0,0,,69,,1004,0,0,28,0,0,4,270,West,,,18.5
20160904-06:00,Haze,23,0,0,,50,,1004,0,0,32,0,0,4,290,WNW,,,14.8
20160904-09:00,Haze,24,0,0,,47,,1002,0,0,34,0,0,4,270,West,,,11.1
20160904-10:30,Haze,24,0,0,40.6,56,,1003,0,0,34,0,0,4,250,WSW,,,11.1
20160904-11:00,Haze,24,0,0,40.6,56,,1003,0,0,34,0,0,4,270,West,,,11.1
20160904-11:30,Haze,24,0,0,40.6,56,,1003,0,0,34,0,0,4,270,West,,,9.3
20160904-12:00,Haze,24,0,0,,49,,1001,0,0,34,0,0,4,250,WSW,,,11.1
20160904-12:30,Haze,24,0,0,39.2,59,,1003,0,0,33,0,0,4,270,West,,,9.3
20160904-13:00,Haze,24,0,0,39.2,59,,1003,0,0,33,0,0,3,270,West,,,9.3
20160904-15:00,Haze,25,0,0,,64,,1002,0,0,31,0,0,2,270,West,,,5.6
20160904-18:00,Haze,23,0,0,,60,,1004,0,0,30,0,0,2,230,SW,,,9.3
20160904-21:00,Haze,22,0,0,,65,,1004,0,0,28,0,0,2,270,West,,,11.1
20160905-00:00,Haze,24,0,0,,86,,1004,0,0,26,0,0,2,270,West,,,7.4
20160905-03:00,Mist,23,0,0,,70,,1004,0,0,27,0,0,4,270,West,,,22.2
20160905-03:30,Haze,23,0,0,31.2,74,,1005,0,0,28,0,0,4,270,West,,,20.4
20160905-06:00,Haze,24,0,0,,52,,1004,0,0,32,0,0,4,290,WNW,,,14.8
20160905-08:00,Haze,24,0,0,39.2,59,,1004,0,0,33,0,0,4,320,NW,,,14.8
20160905-08:30,Haze,24,0,0,39.2,59,,1004,0,0,33,0,0,4,270,West,,,16.7
20160905-09:00,Haze,24,0,0,,47,,1002,0,0,34,0,0,2,290,WNW,,,13
20160905-09:30,Scattered Clouds,24,0,0,40.6,56,,1003,0,0,34,0,0,4,270,West,,,14.8
20160905-10:00,Haze,23,0,0,39.1,52,,1003,0,0,34,0,0,4,270,West,,,14.8
20160905-12:00,Haze,24,0,0,,50,,1001,0,0,34,0,0,2,270,West,,,9.3
20160905-15:00,Haze,23,0,0,,57,,1002,0,0,31,0,0,2,250,WSW,,,7.4
20160905-18:00,Haze,23,0,0,,57,,1003,0,0,30,0,0,2,270,West,,,11.1
20160905-21:00,Haze,22,0,0,,65,,1003,0,0,28,0,0,2,270,West,,,14.8
20160906-00:00,Mist,22,0,0,,71,,1004,0,0,27,0,0,2,250,WSW,,,16.7
20160906-03:00,Haze,22,0,0,,62,,1005,0,0,28,0,0,2,270,West,,,22.2
20160906-06:00,Haze,23,0,0,,51,,1005,0,0,32,0,0,4,270,West,,,14.8
20160906-09:00,Haze,23,0,0,,43,,1004,0,0,34,0,0,4,270,West,,,14.8
20160906-12:00,Haze,23,0,0,,45,,1002,0,0,34,0,0,4,270,West,,,9.3
20160906-15:00,Haze,23,0,0,,56,,1002,0,0,31,0,0,2,270,West,,,9.3
20160906-18:00,Haze,22,0,0,,55,,1004,0,0,29,0,0,2,270,West,,,11.1
20160906-21:00,Haze,21,0,0,,57,,1004,0,0,28,0,0,2,270,West,,,9.3
20160907-00:00,Mist,22,0,0,,70,,1004,0,0,26,0,0,2,270,West,,,11.1
20160907-03:00,Haze,22,0,0,,68,,1005,0,0,27,0,0,2,270,West,,,16.7
20160907-06:00,Haze,22,0,0,,47,,1005,0,0,32,0,0,4,290,WNW,,,14.8
20160907-08:30,Haze,,0,0,,N/A,,1005,0,0,,0,0,4.5,320,NW,,,9.3
20160907-09:00,Haze,25,0,0,,49,,1002,0,0,34,0,0,4,320,NW,,,5.6
20160907-11:00,Haze,24,0,0,41.9,53,,1003,0,0,35,0,0,4,310,NW,,,9.3
20160907-11:30,Haze,24,0,0,40.6,56,,1003,0,0,34,0,0,4,280,West,,,11.1
20160907-12:00,Haze,24,0,0,,48,,1001,0,0,34,0,0,4,270,West,,,11.1
20160907-15:00,Haze,24,0,0,,63,,1003,0,0,31,0,0,2,,,,,0
20160907-18:00,Haze,24,0,0,,63,,1004,0,0,30,0,0,2,270,West,,,3.7
20160907-21:00,Haze,22,0,0,,60,,1003,0,0,28,0,0,2,270,West,,,7.4
20160908-00:00,Haze,21,0,0,,62,,1004,0,0,27,0,0,2,270,West,,,11.1
20160908-03:00,Haze,25,0,0,,74,,1006,0,0,29,0,0,2,320,NW,,,14.8
20160908-06:00,Haze,23,0,0,,50,,1006,0,0,32,0,0,4,320,NW,,,14.8
20160908-06:30,Haze,23,0,0,37.8,55,,1007,0,0,33,0,0,4,260,West,,,14.8
20160908-07:30,Haze,23,0,0,39.1,52,,1007,0,0,34,0,0,4,310,NW,,,14.8
20160908-08:00,Haze,23,0,0,39.1,52,,1006,0,0,34,0,0,4,280,West,,,9.3
20160908-09:00,Partly Cloudy,24,0,0,,42,,1004,0,0,35,0,0,4,290,WNW,,,14.8
20160908-09:30,Haze,24,0,0,41.9,53,,1005,0,0,35,0,0,4,290,WNW,,,13
20160908-12:00,Haze,24,0,0,,48,,1003,0,0,34,0,0,4,270,West,,,9.3
20160908-15:00,Haze,24,0,0,,59,,1004,0,0,31,0,0,2,,,,,0
20160908-18:00,Mist,25,0,0,,72,,1005,0,0,30,0,0,2,,,,,0
